Category,Fuel,Segment,CHINA Standard,Technology,Pollutant/Energy consumption,factor
Passenger Cars,Petrol,Small,Pre I,,CO,25.72
Passenger Cars,Petrol,Small,Pre I,,HC,2.685
Passenger Cars,Petrol,Small,Pre I,,NOx,1.971
Passenger Cars,Petrol,Small,Pre I,,PM25,0.028
Passenger Cars,Petrol,Small,Pre I,,PM10,0.031
Passenger Cars,Petrol,Small,CHINA I,,CO,6.71
Passenger Cars,Petrol,Small,CHINA I,,HC,0.663
Passenger Cars,Petrol,Small,CHINA I,,NOx,0.409
Passenger Cars,Petrol,Small,CHINA I,,PM25,0.026
Passenger Cars,Petrol,Small,CHINA I,,PM10,0.029
Passenger Cars,Petrol,Small,CHINA II,,CO,2.52
Passenger Cars,Petrol,Small,CHINA II,,HC,0.314
Passenger Cars,Petrol,Small,CHINA II,,NOx,0.324
Passenger Cars,Petrol,Small,CHINA II,,PM25,0.011
Passenger Cars,Petrol,Small,CHINA II,,PM10,0.012
Passenger Cars,Petrol,Small,CHINA III,,CO,1.18
Passenger Cars,Petrol,Small,CHINA III,,HC,0.191
Passenger Cars,Petrol,Small,CHINA III,,NOx,0.1
Passenger Cars,Petrol,Small,CHINA III,,PM25,0.007
Passenger Cars,Petrol,Small,CHINA III,,PM10,0.008
Passenger Cars,Petrol,Small,CHINA IV,,CO,0.68
Passenger Cars,Petrol,Small,CHINA IV,,HC,0.075
Passenger Cars,Petrol,Small,CHINA IV,,NOx,0.032
Passenger Cars,Petrol,Small,CHINA IV,,PM25,0.003
Passenger Cars,Petrol,Small,CHINA IV,,PM10,0.003
Passenger Cars,Petrol,Small,CHINA V,,CO,0.46
Passenger Cars,Petrol,Small,CHINA V,,HC,0.056
Passenger Cars,Petrol,Small,CHINA V,,NOx,0.017
Passenger Cars,Petrol,Small,CHINA V,,PM25,0.003
Passenger Cars,Petrol,Small,CHINA V,,PM10,0.003
Passenger Cars,Petrol,Medium,Pre I,,CO,39.13
Passenger Cars,Petrol,Medium,Pre I,,HC,3.695
Passenger Cars,Petrol,Medium,Pre I,,NOx,2.938
Passenger Cars,Petrol,Medium,Pre I,,PM25,0.099
Passenger Cars,Petrol,Medium,Pre I,,PM10,0.11
Passenger Cars,Petrol,Medium,CHINA I,,CO,21.43
Passenger Cars,Petrol,Medium,CHINA I,,HC,2.567
Passenger Cars,Petrol,Medium,CHINA I,,NOx,1.781
Passenger Cars,Petrol,Medium,CHINA I,,PM25,0.06
Passenger Cars,Petrol,Medium,CHINA I,,PM10,0.067
Passenger Cars,Petrol,Medium,CHINA II,,CO,15.37
Passenger Cars,Petrol,Medium,CHINA II,,HC,1.443
Passenger Cars,Petrol,Medium,CHINA II,,NOx,1.461
Passenger Cars,Petrol,Medium,CHINA II,,PM25,0.018
Passenger Cars,Petrol,Medium,CHINA II,,PM10,0.02
Passenger Cars,Petrol,Medium,CHINA III,,CO,4.33
Passenger Cars,Petrol,Medium,CHINA III,,HC,0.373
Passenger Cars,Petrol,Medium,CHINA III,,NOx,0.474
