FID_1,FID_1_1,FID_,FID_base_t,x_s,y_s,x_e,y_e,FID_2,OBJECTID,FID_市界,NAME,ADMINCODE,KIND,CITYCODE,PROVINCENA,FID_gis_os,osm_id,code,fclass,name_1,ref,oneway,maxspeed,layer,bridge,tunnel,road_len
0,4,4,3279,113.3456383620 ,23.1052610883 ,113.3456314100 ,23.1047406157 ,1,2,1,,440183,137,440100,4??,3701,25680211,5131,motorway_link, , ,F,0,0,F,F,57.19452278
1,2369,2369,8407,113.3187890050 ,23.1294289892 ,113.3187890490 ,23.1287902471 ,15,16,1,,440183,137,440100,4??,5468,27318112,5114,secondary,珠江西路, ,F,0,0,F,F,70.18245409
2,2393,2393,8406,113.3187889950 ,23.1295757300 ,113.3187890050 ,23.1294289892 ,15,16,1,,440183,137,440100,4??,5468,27318112,5114,secondary,珠江西路, ,F,0,0,F,F,6.680748283
3,2395,2395,8405,113.3187740220 ,23.1296349347 ,113.3187889950 ,23.1295757300 ,15,16,1,,440183,137,440100,4??,5468,27318112,5114,secondary,珠江西路, ,F,0,0,F,F,6.062192381
4,2405,2405,8404,113.3187590500 ,23.1296883417 ,113.3187740220 ,23.1296349347 ,15,16,1,,440183,137,440100,4??,5468,27318112,5114,secondary,珠江西路, ,F,0,0,F,F,6.062192381
5,2413,2413,8403,113.3187360930 ,23.1297455624 ,113.3187590500 ,23.1296883417 ,15,16,1,,440183,137,440100,4??,5468,27318112,5114,secondary,珠江西路, ,F,0,0,F,F,6.706023086
6,2424,2424,8402,113.3187051530 ,23.1297989999 ,113.3187360930 ,23.1297455624 ,15,16,1,,440183,137,440100,4??,5468,27318112,5114,secondary,珠江西路, ,F,0,0,F,F,7.377081472
7,2433,2433,8401,113.3186672270 ,23.1298562491 ,113.3187051530 ,23.1297989999 ,15,16,1,,440183,137,440100,4??,5468,27318112,5114,secondary,珠江西路, ,F,0,0,F,F,17.88300836
8,899,899,8199,113.3199621960 ,23.1204619875 ,113.3203812660 ,23.1214125989 ,16,17,1,,440183,137,440100,4??,5469,27318117,5134,secondary_link, , ,F,0,0,F,F,112.8002011
9,1796,1796,5508,113.3157205460 ,23.1260715842 ,113.3158123590 ,23.1260581156 ,17,18,1,,440183,137,440100,4??,5470,27318126,5114,secondary,华夏路, ,F,0,0,F,F,3.38253431
10,1801,1801,5508,113.3157205460 ,23.1260715842 ,113.3158123590 ,23.1260581156 ,17,18,1,,440183,137,440100,4??,5470,27318126,5114,secondary,华夏路, ,F,0,0,F,F,3.38253431
11,1802,1802,5373,113.3157205460 ,23.1260715842 ,113.3157744360 ,23.1260638852 ,17,18,1,,440183,137,440100,4??,5470,27318126,5114,secondary,华夏路, ,F,0,0,F,F,3.38253431
12,365,365,5302,113.3160265550 ,23.1167021210 ,113.3159197690 ,23.1167728946 ,33,34,1,,440183,137,440100,4??,6810,29118093,5114,secondary,华夏路, ,F,0,0,F,F,11.25515401
13,368,368,5303,113.3159197690 ,23.1167728946 ,113.3158658770 ,23.1168129803 ,33,34,1,,440183,137,440100,4??,6810,29118093,5114,secondary,华夏路, ,F,0,0,F,F,7.028492679
14,373,373,5304,113.3158658770 ,23.1168129803 ,113.3158359350 ,23.1168588183 ,33,34,1,,440183,137,440100,4??,6810,29118093,5114,secondary,华夏路, ,F,0,0,F,F,7.028492679
15,382,382,5305,113.3158359350 ,23.1168588183 ,113.3158129790 ,23.1169122400 ,33,34,1,,440183,137,440100,4??,6810,29118093,5114,secondary,华夏路, ,F,0,0,F,F,6.316578565
16,387,387,5306,113.3158129790 ,23.1169122400 ,113.3158049900 ,23.1169923223 ,33,34,1,,440183,137,440100,4??,6810,29118093,5114,secondary,华夏路, ,F,0,0,F,F,6.316578565
17,400,400,5307,113.3158049900 ,23.1169923223 ,113.3157900120 ,23.1171163000 ,33,34,1,,440183,137,440100,4??,6810,29118093,5114,secondary,华夏路, ,F,0,0,F,F,8.836722367
18,1934,1934,5360,113.3156676190 ,23.1265921735 ,113.3156446680 ,23.1265693263 ,34,35,1,,440183,137,440100,4??,6811,29118096,5114,secondary,华夏路, ,F,0,0,F,F,3.426661481
19,1935,1935,5628,113.3156676190 ,23.1265921735 ,113.3156446680 ,23.1265693263 ,34,35,1,,440183,137,440100,4??,6811,29118096,5114,secondary,华夏路, ,F,0,0,F,F,3.426661481
20,1940,1940,5359,113.3157055410 ,23.1266054963 ,113.3156676190 ,23.1265921735 ,34,35,1,,440183,137,440100,4??,6811,29118096,5114,secondary,华夏路, ,F,0,0,F,F,2.749584484
21,1941,1941,5627,113.3157055410 ,23.1266054963 ,113.3156676190 ,23.1265921735 ,34,35,1,,440183,137,440100,4??,6811,29118096,5114,secondary,华夏路, ,F,0,0,F,F,2.749584484
22,1948,1948,5358,113.3157284930 ,23.1266187474 ,113.3157055410 ,23.1266054963 ,34,35,1,,440183,137,440100,4??,6811,29118096,5114,secondary,华夏路, ,F,0,0,F,F,4.780584767
23,1949,1949,5626,113.3157284930 ,23.1266187474 ,113.3157055410 ,23.1266054963 ,34,35,1,,440183,137,440100,4??,6811,29118096,5114,secondary,华夏路, ,F,0,0,F,F,4.780584767
24,605,605,8066,113.3158966950 ,23.1185555092 ,113.3159426010 ,23.1185631191 ,38,39,1,,440183,137,440100,4??,6869,29141094,5141,service, , ,B,0,0,F,F,5.063686685
